10.0.0.0     | 10.0.0.0     | sshd
172.250.12.5 | 172.250.12.5 | /usr/bin/sample.php
100.54.89.47 | 100.54.89.47 | rabbit.aspx
52.37.42.5   | 52.37.42.5   | network.php
87.64.84.65  | 87.64.84.65  | sshd-venkat2
10.0.0.5     | 10.0.0.5     | /bin/exec/tox.sh
10.20.8.5    | 10.20.8.5    | /usr/mnt/lustre.ps
172.45.65.2  | 172.45.65.2  | /home/ubuntu/me/proc.sh
192.54.25.1  | 192.54.25.1  | htop
10.20.0.0    | 10.20.0.0    | netstat-5.6
10.58.62.123 | 10.58.62.123 | tcpdump-7.0
77.55.65.2   | 77.55.65.2   | statusKill.sh
10.0.0.0     | 10.0.0.0     | sshd
172.250.12.5 | 172.250.12.5 | /usr/bin/sample.php
100.54.89.47 | 100.54.89.47 | rabbit.aspx
52.37.42.5   | 52.37.42.5   | network.php
87.64.84.65  | 87.64.84.65  | sshd-venkat2
10.0.0.5     | 10.0.0.5     | /bin/exec/tox.sh
10.20.8.5    | 10.20.8.5    | /usr/mnt/lustre.ps
172.45.65.2  | 172.45.65.2  | /home/ubuntu/me/proc.sh
192.54.25.1  | 192.54.25.1  | htop
10.20.0.0    | 10.20.0.0    | netstat-5.6
10.58.62.123 | 10.58.62.123 | tcpdump-7.0
77.55.65.2   | 77.55.65.2   | statusKill.sh
10.0.0.0     | 10.0.0.0     | sshd
172.250.12.5 | 172.250.12.5 | /usr/bin/sample.php
100.54.89.47 | 100.54.89.47 | rabbit.aspx
52.37.42.5   | 52.37.42.5   | network.php
87.64.84.65  | 87.64.84.65  | sshd-venkat2
10.0.0.5     | 10.0.0.5     | /bin/exec/tox.sh
10.20.8.5    | 10.20.8.5    | /usr/mnt/lustre.ps
172.45.65.2  | 172.45.65.2  | /home/ubuntu/me/proc.sh
192.54.25.1  | 192.54.25.1  | htop
10.20.0.0    | 10.20.0.0    | netstat-5.6
10.58.62.123 | 10.58.62.123 | tcpdump-7.0
77.55.65.2   | 77.55.65.2   | statusKill.sh
10.0.0.0     | 10.0.0.0     | sshd
172.250.12.5 | 172.250.12.5 | /usr/bin/sample.php
100.54.89.47 | 100.54.89.47 | rabbit.aspx
52.37.42.5   | 52.37.42.5   | network.php
87.64.84.65  | 87.64.84.65  | sshd-venkat2
10.0.0.5     | 10.0.0.5     | /bin/exec/tox.sh
10.20.8.5    | 10.20.8.5    | /usr/mnt/lustre.ps
172.45.65.2  | 172.45.65.2  | /home/ubuntu/me/proc.sh
192.54.25.1  | 192.54.25.1  | htop
10.20.0.0    | 10.20.0.0    | netstat-5.6
10.58.62.123 | 10.58.62.123 | tcpdump-7.0
77.55.65.2   | 77.55.65.2   | statusKill.sh
